signature,level,weight,newform_index,newform_label,prime,coefficient,coefficient_field,coefficient_field_kind,is_rational_integer,reduction_mod_5_available,coefficient_mod_5,prime_above_5_metadata,row_status
5-4-5,20,2,0,q - 2*q^3 - q^5 + O(q^6),3,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,20,2,0,q - 2*q^3 - q^5 + O(q^6),13,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,20,2,0,q - 2*q^3 - q^5 + O(q^6),17,-6,Rational Field,rational_integer,True,True,4,,completed
5-4-5,20,2,0,q - 2*q^3 - q^5 + O(q^6),41,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,20,2,0,q - 2*q^3 - q^5 + O(q^6),61,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,40,2,0,q + q^5 + O(q^6),3,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,40,2,0,q + q^5 + O(q^6),13,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,40,2,0,q + q^5 + O(q^6),17,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,40,2,0,q + q^5 + O(q^6),41,-6,Rational Field,rational_integer,True,True,4,,completed
5-4-5,40,2,0,q + q^5 + O(q^6),61,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,100,2,0,q + 2*q^3 + O(q^6),3,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,100,2,0,q + 2*q^3 + O(q^6),13,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,100,2,0,q + 2*q^3 + O(q^6),17,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,100,2,0,q + 2*q^3 + O(q^6),41,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,100,2,0,q + 2*q^3 + O(q^6),61,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),3,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),13,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),17,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),41,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),61,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),3,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),13,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),17,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),41,-10,Rational Field,rational_integer,True,True,0,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),61,-14,Rational Field,rational_integer,True,True,1,,completed
5-4-5,50,2,0,q - q^2 + q^3 + q^4 + O(q^6),3,1,Rational Field,rational_integer,True,True,1,,completed
5-4-5,50,2,0,q - q^2 + q^3 + q^4 + O(q^6),13,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,50,2,0,q - q^2 + q^3 + q^4 + O(q^6),17,-3,Rational Field,rational_integer,True,True,2,,completed
5-4-5,50,2,0,q - q^2 + q^3 + q^4 + O(q^6),41,-3,Rational Field,rational_integer,True,True,2,,completed
5-4-5,50,2,0,q - q^2 + q^3 + q^4 + O(q^6),61,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,50,2,1,q + q^2 - q^3 + q^4 + O(q^6),3,-1,Rational Field,rational_integer,True,True,4,,completed
5-4-5,50,2,1,q + q^2 - q^3 + q^4 + O(q^6),13,4,Rational Field,rational_integer,True,True,4,,completed
5-4-5,50,2,1,q + q^2 - q^3 + q^4 + O(q^6),17,3,Rational Field,rational_integer,True,True,3,,completed
5-4-5,50,2,1,q + q^2 - q^3 + q^4 + O(q^6),41,-3,Rational Field,rational_integer,True,True,2,,completed
5-4-5,50,2,1,q + q^2 - q^3 + q^4 + O(q^6),61,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,200,2,0,q - 3*q^3 + O(q^6),3,-3,Rational Field,rational_integer,True,True,2,,completed
5-4-5,200,2,0,q - 3*q^3 + O(q^6),13,4,Rational Field,rational_integer,True,True,4,,completed
5-4-5,200,2,0,q - 3*q^3 + O(q^6),17,5,Rational Field,rational_integer,True,True,0,,completed
5-4-5,200,2,0,q - 3*q^3 + O(q^6),41,-3,Rational Field,rational_integer,True,True,2,,completed
5-4-5,200,2,0,q - 3*q^3 + O(q^6),61,10,Rational Field,rational_integer,True,True,0,,completed
5-4-5,200,2,1,q - 2*q^3 + O(q^6),3,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,200,2,1,q - 2*q^3 + O(q^6),13,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,200,2,1,q - 2*q^3 + O(q^6),17,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,200,2,1,q - 2*q^3 + O(q^6),41,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,200,2,1,q - 2*q^3 + O(q^6),61,-10,Rational Field,rational_integer,True,True,0,,completed
5-4-5,200,2,2,q + O(q^6),3,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,200,2,2,q + O(q^6),13,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,200,2,2,q + O(q^6),17,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,200,2,2,q + O(q^6),41,-6,Rational Field,rational_integer,True,True,4,,completed
