signature,obligation_id,title,statement,current_evidence,status,risk_level,next_action
5-4-5,TS545-001,Hypothetical primitive solution setup,"Assume pairwise nonzero integers A,B,C satisfy A^5 + B^4 = C^5 and gcd(A,B,C)=1.",Framework assumption only.,conditional_setup,medium,"State sign, nonzero, coprimality, and normalization conventions exactly."
5-4-5,TS545-002,Frey attachment,Attach E: y^2 = x(x - A^5)(x + B^4) to every primitive solution in the required orientation.,Template exists in the route library.,needs_hand_derivation,high,Derive nonsingularity and integral model conditions for all primitive solution cases.
5-4-5,TS545-003,Discriminant and conductor calculation,"Compute the minimal discriminant and conductor exponents, including primes 2, 5, 11, and primes dividing ABC.","Symbolic invariants are computed for the displayed model: Delta=16*A^10*B^8*C^10, c4=16*(A^10+A^5*B^4+B^8), and c6=32*(A^5-B^4)*(2*A^10+5*A^5*B^4+2*B^8).",needs_hand_derivation,high,Run a prime-by-prime minimal model and conductor analysis.
5-4-5,TS545-004,Residual mod-5 irreducibility,Show the relevant residual representation modulo 5 is irreducible and has the required ramification behavior.,The current trace filter uses mod-5 comparison mode.,missing,high,Identify the exact representation and prove irreducibility or state required exceptions.
5-4-5,TS545-005,Level lowering to level 220,Show the modular representation lowers to the weight-2 level-220 space used by the Sage query.,110:level_data_insufficient;220:level_220_mismatch_candidate;440:level_data_insufficient,needs_hand_derivation,high,Justify why the comparison level is 220 and why no nearby level should be used instead.
5-4-5,TS545-006,Level-220 newform exhaustion,Verify that the two imported level-220 newform slots are the complete relevant target space.,Current trace progress label is trace_mismatch_candidate.,computed_route_evidence,medium,"Confirm old/new decomposition, character choices, coefficient fields, and labels in Sage or Magma."
5-4-5,TS545-007,Good-prime trace exclusion,"For each relevant good prime, compare Frey trace possibilities with newform coefficients in the justified residue field.",2 of 2 level-220 newforms eliminated by current filter.,computed_route_evidence,medium,Check the first eliminating primes independently and justify the local enumeration.
5-4-5,TS545-008,Local valuation and reduction case split for q | ABC,"Handle reductions where q divides one or more of A,B,C, or prove they are not needed for the chosen good-prime trace step.",local_case_elimination_candidate; scope=local_trace_mismatch_candidate; full_coverage_eliminating_primes=3,local_coverage_gap,high,"Prove the local valuation and reduction case split for q in {3,13,17,41,61} with q | ABC, including A_only, B_only, C_only, and singular Frey reductions."
5-4-5,TS545-010,Focused Tate algorithm for single masks,"Run the Tate algorithm / reduction analysis for the Frey curve at q in {3,13,17,41,61} under A_only, B_only, and C_only.",local_case_elimination_candidate; scope=local_trace_mismatch_candidate; full_coverage_eliminating_primes=3,needs_human_tate_algorithm,high,"Run the Tate algorithm / reduction analysis for the Frey curve at q in {3,13,17,41,61} under A_only, B_only, and C_only."
5-4-5,TS545-011,Multiplicative-reduction congruence,"Justify that the multiplicative-reduction branches satisfy the level-lowering congruence a_q(f) == +/-(q+1) mod 5 at q in {3,13,17,41,61}.",local_case_elimination_candidate; scope=local_trace_mismatch_candidate; full_coverage_eliminating_primes=3,level_lowering_assumption_required,high,"Justify that the multiplicative-reduction branches satisfy the level-lowering congruence a_q(f) == +/-(q+1) mod 5 at q in {3,13,17,41,61}."
5-4-5,TS545-012,Cross-prime branch compatibility,"Check whether q in {13,17,41,61} jointly eliminate all compatible unit and single-mask branch assignments for the level-220 newforms.",local_case_elimination_candidate; scope=local_trace_mismatch_candidate; full_coverage_eliminating_primes=3,computed_route_evidence,high,Treat this as a screening audit only; do not use fixed branch compatibility across distinct good primes as the final modular-method quantifier.
5-4-5,TS545-013,q=3 exceptionality review,Decide whether the q=3 local closure is small-prime-sensitive or supported by the non-q=3 focused primes.,local_case_elimination_candidate; scope=local_trace_mismatch_candidate; full_coverage_eliminating_primes=3,q3_requires_human_review,high,"Compare q=3 behavior with q=13,17,41,61 and justify any use of q=3 as local route evidence."
5-4-5,TS545-014,Quantifier-safe cross-prime route,"For each level-220 newform, identify at least one non-q=3 prime where unit, A_only, B_only, C_only, and pairwise primitive-forbidden masks are all covered.",local_case_elimination_candidate; scope=local_trace_mismatch_candidate; full_coverage_eliminating_primes=3,quantifier_safe_cross_prime_candidate,high,Verify the exists-prime-per-newform elimination and reject any argument that couples fixed branch choices across different primes.
5-4-5,TS545-015,Frey-conductor proof audit,Turn the symbolic Frey invariant formulas into a minimal conductor and exact bad-prime support statement.,"The Frey-conductor audit computes symbolic c4, c6, Delta, and j, but conductor exponents remain unproved.",conductor_gap_blocks_upgrade,high,"Prove the conductor support at 2, 5, 11, and primes dividing ABC; decide which primes remain in level 220."
5-4-5,TS545-016,Bad-prime Tate algorithm,"Run the local Tate/minimal-model analysis at the bad primes 2, 5, and 11.",The checklist records symbolic valuation formulas but no completed local Tate analysis.,blocks_conductor_claim,high,"Compute reduction types and conductor exponents at 2, 5, and 11."
5-4-5,TS545-017,Formal level-lowering package,"Verify residual modulus 5, residual irreducibility, modularity input, level-lowering hypotheses, exact target level 220, and good-prime trace validity.","The obligation list is generated, with irreducibility and exact level still missing.",level_lowering_gap_blocks_upgrade,high,Discharge every level-lowering obligation before interpreting the trace elimination as a modular-method argument.
5-4-5,TS545-018,Conductor-exponent model provenance,"Separate generic multiplicative ABC-prime behavior from bad-prime exponent calculations at 2, 5, and 11.","The conductor-exponent model records generic multiplicative rows away from 2,5,11 but leaves bad-prime exponents as human Tate checks.",bad_prime_tate_gap,high,"Derive the exact local conductor exponent at 2, at 5, and at any 11-adic case used by the route."
5-4-5,TS545-019,Level-220 provenance,Explain each factor in 220 = 2^2 * 5 * 11 from the Frey conductor or lowered level.,The level-220 provenance audit labels the aggregate target as level_220_heuristic_target and the factor 11 as level_11_factor_unjustified.,conductor_gap_blocks_upgrade,high,"Justify the factors 2, 5, and 11, or replace the target level and rerun the newform comparison."
5-4-5,TS545-020,ABC-prime removal,"Show why primes dividing A, B, or C disappear from the final comparison level after level lowering.","The ABC-prime removal audit marks A, B, and C prime cases with abc_prime_removal_gap.",abc_prime_removal_gap,high,"Verify residual irreducibility, minimality, and the local hypotheses needed to remove every prime dividing ABC."
5-4-5,TS545-021,Sage conductor sanity samples,Use generated Sage code only to sanity-check formulas and optional exact samples supplied later.,The generated Sage script contains symbolic formulas and finite-field residue samples only.,synthetic_sanity_only,medium,Do not use synthetic samples as mathematical evidence; use them only to spot formula or conductor-computation mistakes.
5-4-5,TS545-022,Candidate-level target discovery,Stop assuming level 220 and test plausible comparison levels generated from bad-prime exponent variants.,"The candidate-level layer generates 2^0..3 * 5^0..2 * 11^0..1, writes a Sage expander, and ranks levels by trace pressure and conductor plausibility.",level_data_insufficient,high,"Run the candidate-level Sage expander, import coefficient data, and compare whether trace pressure persists without the unjustified factor 11."
5-4-5,TS545-009,Small-prime robustness,Show the route does not rely on an accidental tiny-prime phenomenon unless that reliance is mathematically justified.,exclude_q_3:trace_mismatch_candidate;exclude_q_3_7:trace_mismatch_candidate;exclude_q_lt_11:trace_mismatch_candidate;exclude_q_lt_17:trace_survivor_exists;use_only_q_ge_17:trace_survivor_exists,computed_route_evidence,medium,Decide whether reliance on q=3 or another focused eliminating prime should be part of the human check.
