signature,prime,valuation_mask,solution_count_mod_q,classification,primitive_compatible,reason
5-4-5,3,unit,1,locally_possible,True,Unit residue triples exist and are the cases tested by the current trace filter.
5-4-5,3,A_only,1,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,3,B_only,2,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,3,C_only,1,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,3,AB,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,3,AC,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,3,BC,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,3,ABC,1,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,7,unit,15,locally_possible,True,Unit residue triples exist and are the cases tested by the current trace filter.
5-4-5,7,A_only,3,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,7,B_only,6,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,7,C_only,3,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,7,AB,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,7,AC,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,7,BC,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,7,ABC,1,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,13,unit,33,locally_possible,True,Unit residue triples exist and are the cases tested by the current trace filter.
5-4-5,13,A_only,3,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,13,B_only,12,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,13,C_only,3,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,13,AB,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,13,AC,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,13,BC,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,13,ABC,1,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,17,unit,60,locally_possible,True,Unit residue triples exist and are the cases tested by the current trace filter.
5-4-5,17,A_only,4,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,17,B_only,16,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,17,C_only,4,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,17,AB,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,17,AC,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,17,BC,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,17,ABC,1,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,19,unit,153,locally_possible,True,Unit residue triples exist and are the cases tested by the current trace filter.
5-4-5,19,A_only,9,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,19,B_only,18,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,19,C_only,9,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,19,AB,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,19,AC,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,19,BC,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,19,ABC,1,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,23,unit,231,locally_possible,True,Unit residue triples exist and are the cases tested by the current trace filter.
5-4-5,23,A_only,11,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,23,B_only,22,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,23,C_only,11,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,23,AB,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,23,AC,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,23,BC,0,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,23,ABC,1,primitive_forbidden,False,"If a primitive solution has q dividing at least two of A,B,C, the equation forces common q-divisibility or is excluded by primitivity."
5-4-5,29,unit,189,locally_possible,True,Unit residue triples exist and are the cases tested by the current trace filter.
5-4-5,29,A_only,7,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
5-4-5,29,B_only,28,locally_possible,True,Single-variable q-divisibility has mod-q unit solutions but gives singular reduction for the current Frey template.
