signature,level,weight,newform_index,newform_label,prime,coefficient,coefficient_field,coefficient_field_kind,is_rational_integer,reduction_mod_5_available,coefficient_mod_5,prime_above_5_metadata,row_status
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),3,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),7,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),13,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),17,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),19,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),23,-6,Rational Field,rational_integer,True,True,4,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),29,-6,Rational Field,rational_integer,True,True,4,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),31,8,Rational Field,rational_integer,True,True,3,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),37,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),41,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),43,8,Rational Field,rational_integer,True,True,3,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),47,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),53,-6,Rational Field,rational_integer,True,True,4,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),59,-12,Rational Field,rational_integer,True,True,3,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),61,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),67,-10,Rational Field,rational_integer,True,True,0,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),71,-12,Rational Field,rational_integer,True,True,3,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),73,-16,Rational Field,rational_integer,True,True,4,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),79,8,Rational Field,rational_integer,True,True,3,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),83,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),89,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,0,q - 2*q^3 + q^5 + O(q^6),97,14,Rational Field,rational_integer,True,True,4,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),3,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),7,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),13,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),17,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),19,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),23,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),29,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),31,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),37,-6,Rational Field,rational_integer,True,True,4,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),41,-10,Rational Field,rational_integer,True,True,0,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),43,4,Rational Field,rational_integer,True,True,4,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),47,10,Rational Field,rational_integer,True,True,0,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),53,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),59,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),61,-14,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),67,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),71,4,Rational Field,rational_integer,True,True,4,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),73,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),79,-8,Rational Field,rational_integer,True,True,2,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),83,12,Rational Field,rational_integer,True,True,2,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),89,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,220,2,1,q + 2*q^3 + q^5 + O(q^6),97,6,Rational Field,rational_integer,True,True,1,,completed
