signature,gap_category,gap_status,description,required_next_lemma,risk_level,blocks_label_beyond_review
5-4-5,algebraic_derivation_gap,open,The pipeline has not derived that a primitive solution gives the selected Frey curve in all cases.,"Prove the Frey-curve attachment lemma for A^5+B^4=C^5, including primitivity and nonsingularity conditions.",high,True
5-4-5,conductor_gap,open,"Level 220 is a route-audit target, not a verified conductor.",Compute the exact conductor of the attached Frey curve and justify every prime/exponent in the level.,high,True
5-4-5,frey_curve_derivation_gap,open,"The displayed Frey object now has symbolic c4, c6, discriminant, and j formulas, but this does not prove the curve is attached to every primitive solution or is minimal.",Derive the Frey curve from a primitive solution and prove the symbolic invariant formulas in the required integral model.,high,True
5-4-5,conductor_support_audit_gap,open,"The conductor-support audit identifies 2, 5, 11, and primes dividing ABC, but the exact conductor support and exponents are not proved.","Prove which primes remain in the conductor or lowered level, including why 11 belongs to level 220 if it does.",high,True
5-4-5,bad_prime_tate_gap,open,"The bad-prime checklist records valuation formulas at 2, 5, and 11 but no completed local Tate algorithm.","Run the Tate algorithm at bad primes 2, 5, and 11 and compute the exact conductor exponents.",high,True
5-4-5,conductor_exponent_model_gap,open,"The conductor-exponent model gives symbolic multiplicative rows away from 2,5,11 but does not derive bad-prime conductor exponents.",Convert the symbolic valuation model into a local minimal-model and conductor-exponent calculation at every relevant prime.,high,True
5-4-5,level_220_provenance_gap,open,"The factorization 220 = 2^2 * 5 * 11 is recorded, but level 220 remains a heuristic target until each factor is derived.","Explain the factors 2, 5, and 11 in the lowered level; in particular resolve level_11_factor_unjustified.",high,True
5-4-5,abc_prime_removal_gap,open,"Primes dividing A, B, or C appear in the displayed discriminant and are not yet removed from the final level by a verified argument.","Prove residual irreducibility, minimality, and level-lowering hypotheses that remove every prime dividing ABC.",high,True
5-4-5,candidate_level_search_gap,open,Level 220 is no longer assumed to be the only comparison target; plausible levels from bad-prime exponent variants need Sage coefficient data and trace filtering.,"Run the candidate-level Sage expander, import newform coefficients across generated levels, and decide whether the route is level-sensitive.",high,True
5-4-5,irreducibility_gap,open,The residual representation has not been shown irreducible.,Prove irreducibility for the justified residual representation prime.,high,True
5-4-5,level_lowering_gap,open,No level-lowering theorem has been checked against the template hypotheses.,Verify the hypotheses for lowering from the true conductor to the claimed comparison level.,high,True
5-4-5,formal_level_lowering_obligation_gap,open,"The formal obligation list still has missing residual irreducibility, level-lowering hypotheses, and exact target-level checks.","Verify residual modulus 5, residual irreducibility, modularity input, all level-lowering hypotheses, exact level 220, and good-prime trace comparison validity.",high,True
5-4-5,newform_trace_gap,open,The current imported Sage result has a newform count but no q-expansion coefficient data.,Export and compare relevant newform coefficients at good primes using the justified modulus.,high,True
5-4-5,local_to_global_gap,open,"The ell=11 narrow trace row is local data and 11 divides level 220, so it is not yet a good-prime modular comparison.","Show how local survivor traces constrain the global modular representation, or replace with good-prime trace comparisons.",high,True
5-4-5,local_valuation_reduction_gap,open,"The focused good-prime trace mismatches at q in {3,13,17,41,61} are currently unit-case evidence unless reductions with q dividing A, B, or C are separately handled.","Prove the local valuation and reduction case split for q | ABC at q in {3,13,17,41,61}, including A_only, B_only, C_only, and singular Frey reductions.",high,True
5-4-5,focused_tate_algorithm_gap,open,"The q in {3,13,17,41,61} A_only, B_only, and C_only branches now have a diagnostic layer, but the stub does not replace a human Tate-algorithm/reduction analysis.","Run the Tate algorithm / reduction analysis for the Frey curve at q in {3,13,17,41,61} under A_only, B_only, and C_only.",high,True
5-4-5,multiplicative_congruence_gap,open,"The multiplicative-reduction congruence audit compares coefficients with +/-(q+1) modulo 5, but the level-lowering use of that condition has not been justified by hand.","Justify that the multiplicative-reduction branches satisfy the level-lowering congruence a_q(f) == +/-(q+1) mod 5 at q in {3,13,17,41,61}.",high,True
5-4-5,cross_prime_branch_compatibility_gap,open,"The non-q=3 focused primes are compared across unit and single-mask branch assignments, but fixed branch coupling across different primes cannot be used as the final modular-method quantifier.","Review the cross-prime branch compatibility audit for q in {13,17,41,61} only as a screening layer.",high,True
5-4-5,quantifier_safety_gap,open,The conditional route now requires an exists-prime-per-newform check: each newform must be eliminated at one prime where every local branch is covered.,"Verify the quantifier-safe cross-prime route: newform 0 at q=17 or q=41 and newform 1 at q=13, with complete same-prime branch coverage.",high,True
5-4-5,q3_exceptionality_gap,open,q=3 is good relative to level 220 but remains the smallest focused good prime and carries a small-prime sensitivity risk.,"Review whether q=3 behavior is small-prime-sensitive or supported by the larger focused primes q=13,17,41,61.",high,True
5-4-5,control_artifact_gap,open,One 5-4-5 sparse row at ell=11 is artifact-explained; the non-artifact ell=31 row is not yet connected to the level-220 route.,Separate artifact local behavior from reusable modular constraints and connect any non-artifact rows to the Frey route.,medium,True
