signature,rank,level,factorization,includes_11,conductor_plausibility_score,conductor_plausibility_label,newform_count,level_trace_label,surviving_newforms,first_eliminators,coefficient_field_status,trace_strength_score,coefficient_field_score,human_review_priority_score,aggregate_route_label,route_ceiling_label,reason
5-4-5,1,20,2^2 * 5,False,8,plausible_without_11,1,level_trace_mismatch_candidate,,newform_0:q=3,all_clear,4,3,15,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,2,100,2^2 * 5^2,False,7,plausible_without_11,1,level_trace_mismatch_candidate,,newform_0:q=3,all_clear,4,3,14,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,3,4,2^2,False,7,plausible_without_11,0,level_trace_mismatch_candidate,,,no_coefficients,4,0,12,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,4,10,2 * 5,False,7,plausible_without_11,0,level_trace_mismatch_candidate,,,no_coefficients,4,0,12,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,5,40,2^3 * 5,False,7,plausible_without_11,1,level_survivor_exists,newform_0,,all_clear,2,3,12,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,6,220,2^2 * 5 * 11,True,7,current_baseline_heuristic,2,level_trace_mismatch_candidate,,newform_0:q=3;newform_1:q=3,all_clear,4,3,12,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,7,2,2,False,6,plausible_without_11,0,level_trace_mismatch_candidate,,,no_coefficients,4,0,11,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,8,5,5,False,6,plausible_without_11,0,level_trace_mismatch_candidate,,,no_coefficients,4,0,11,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,9,8,2^3,False,6,plausible_without_11,0,level_trace_mismatch_candidate,,,no_coefficients,4,0,11,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,10,1,1,False,5,exploratory_low_bad_prime_support,0,level_trace_mismatch_candidate,,,no_coefficients,4,0,10,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,11,25,5^2,False,5,plausible_without_11,0,level_trace_mismatch_candidate,,,no_coefficients,4,0,10,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,12,50,2 * 5^2,False,6,plausible_without_11,2,level_survivor_exists,newform_0;newform_1,,all_clear,2,3,10,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
