signature,prime,valuation_mask,valuation_classification,lift_classification,expected_reduction,current_trace_comparison_applies,separate_argument_required,reason
5-4-5,3,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,3,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,3,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,3,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,3,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,3,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,3,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,3,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,7,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,7,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,7,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,7,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,7,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,7,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,7,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,7,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,13,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,13,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,13,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,13,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,13,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,13,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,13,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,13,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,17,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,17,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,17,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,17,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,17,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,17,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,17,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,17,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,19,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,19,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,19,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,19,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,19,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,19,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
