signature,level,newform_index,newform_label,prime,newform_coefficient,frey_trace_values,comparison_mode,filter_classification,is_first_eliminating_prime,all_eliminating_primes,provenance_label,contradiction_claim_allowed
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),3,-2,0,mod_5,eliminated,True,3;17;41;61,eliminating_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),7,-4,-4;0;4,exact,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),13,-4,-6;-2;2;6,mod_5,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),17,0,-6;-2;2;6,mod_5,eliminated,False,3;17;41;61,eliminating_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),19,-4,-8;-4;0;4;8,exact,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),23,-6,-8;-4;0;4;8,mod_5,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),29,-6,-10;-6;-2;2;6;10,exact,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),31,8,-8;-4;0;4;8,exact,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),37,2,-10;-6;-2;2;6;10,exact,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),41,6,-6;2;10,mod_5,eliminated,False,3;17;41;61,eliminating_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),43,8,-12;-8;-4;0;4;8;12,exact,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),47,6,-12;-8;-4;0;4;8;12,mod_5,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),53,-6,-14;-10;-6;-2;2;6;10;14,exact,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),59,-12,-12;-8;-4;0;4;8;12,exact,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),61,2,-2;6;10;14,mod_5,eliminated,False,3;17;41;61,eliminating_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),67,-10,-16;-12;-8;-4;0;4;8;12;16,mod_5,survives,False,3;17;41;61,surviving_comparison,False
